id,title,short_title,year,country
326,'Caddyshack','caddyshack',1980,'U.S.'
327,'National Security','nationalsecurity',2003,'U.S.'
328,'Juliet of the Spirits','julietofthespirits',1965,'Italy'
329,'12 Angry Men','12angrymen',1957,'U.S.'
330,'Kanzo Sensei (aka, Dr. Akagi)','kanzosensei',1998,'Japan'
331,'The Pianist','thepianist',2002,'Poland'
332,'Shanghai Knights','shanghaiknights',2003,'U.S. / U.K.'
333,'Stolen Moments','stolenmoments',2001,'U.S.'
334,'Faat Kine','faatkine',2000,'Senegal'
335,'Badlands','badlands',1973,'U.S.'
336,'Some Like It Hot','somelikeithot',1959,'U.S.'
337,'Daredevil','daredevil',2003,'U.S.'
338,'Bullitt','bullitt',1968,'U.S.'
339,'Arsenic and Old Lace','aresenicandoldlace',1944,'U.S.'
340,'Barbershop','barbershop',2002,'U.S.'
341,'Cradle 2 The Grave','cradle2thegrave',2003,'U.S.'
342,'Magnificent Butcher','magnificentbutcher',1979,'Hong Kong'
343,'La Belle et la B&#234;te','beautyandthebeast',1946,'France'
344,'Dragon Inn','dragoninn',1966,'Taiwan'
345,'Escorts Over Tiger Hills','escortsovertigerhills',1969,'Hong Kong / Taiwan'
346,'Undercover Brother','undercoverbrother',2002,'U.S.'
347,'Hero','hero',2002,'China'
348,'Ningen no Joken I (aka, The Human Condition I: No Greater Love)','humanconditioni',1959,'Japan'
349,'Moonraker','moonraker',1979,'U.K. / France'
350,'Election','election',1999,'U.S.'
351,'Anger Management','angermanagement',2003,'U.S.'
352,'Better Luck Tomorrow','betterlucktomorrow',2002,'U.S.'
353,'Infernal Affairs','infernalaffairs',2002,'Hong Kong'
354,'Rikyu','rikyu',1989,'Japan'
355,'Made','made',2001,'U.S.'
356,'Joint Security Area','jsa',2000,'South Korea'
357,'GoldenEye','goldeneye',1995,'U.K.'
358,'X2','x2',2003,'U.S.'
359,'Yes, Madam','yesmadam',1985,'Hong Kong'
360,'Three Days of the Condor','threedaysofthecondor',1975,'U.S.'
361,'Sen to Chihiro no Kamikakushi (aka, Spirited Away)','sentochihironomakimakushi',2001,'Japan'
362,'Armageddon','armageddon',1998,'U.S.'
363,'The Sting','thesting',1973,'U.S.'
364,'Strangers On A Train','strangersonatrain',1951,'U.S.'
365,'My Wife Is A Gangster','mywifeisagangster',2001,'South Korea'
366,'Trainspotting','trainspotting',1996,'U.K.'
367,'The Italian Job','italianjob',2003,'U.S.'
368,'The Matrix Reloaded','matrixreloaded',2003,'U.S.'
369,'Get Carter','getcarter',1971,'U.K.'
370,'The Killing Fields','killingfields',1984,'U.K.'
371,'Goldfinger','goldfinger',1964,'U.K.'
372,'Spellbound','spellbound',1945,'U.S.'
373,'28 Days Later...','28dayslater',2003,'U.K.'
374,'Gone With The Wind','gonewiththewind',1939,'U.S.'
375,'My Cousin Vinny','mycousinvinny',1992,'U.S.'
376,'12 Monkeys','12monkeys',1995,'U.S.'
377,'Shanghai Noon','shanghainoon',2000,'U.S.'
378,'Charlie\'s Angels: Full Throttle','fullthrottle',2003,'U.S.'
379,'Nurse Betty','nursebetty',2000,'U.S.'
380,'The Mind Traveller: Oliver Sacks -- Shane: Tourette\'s Syndrome','themindtraveller',1998,'U.K.'
